_id,S.N,Districts,Area(Ha.),Production(Mt.),Yield( Kg/Ha.),Farmers
1,1,Arghakhachi,131,29,221,1656
2,2,Baglung,62,15,242,1338
3,3,Bhojpur,15,2,133,162
4,4,Dhading,71,15,211,728
5,5, Gorkha,33,5,152,741
6,6, Gulmi,160,35,219,1789
7,7, Ilam,60,19,317,715
8,8, Kaski,146,30,205,4248
9,9, Kavre,193,38,197,3261
10,10, Khotang,21,5,238,278
11,11, Lalitpur,130,28,215,980
12,12, Lamjung,131,25,191,1341
13,13, Makawanpur,30,12,400,812
14,14, Myagdi,31,10,323,492
15,15, Nuwakot,178,29,163,1379
16,16, Palpa,119,30,252,2278
17,17, Panchthar,271,21,77,900
18,18, Parbat,92,16,174,1916
19,19, Pyuthan,26,10,385,415
20,20, Rasuwa,44,12,273,362
21,21, Sankhuwashava,28,31,1107,368
22,22, Sindhupalchok,128,19,148,1578
23,23, Syangja,310,41,132,3313
24,24, Tanahu,38,9,237,621
25,25, Other17 Districts,170,46,271,910
26,-,Total,2618,532,203,32581
